OBJID,CLASS
588848901537202306,0
588848901532418163,0
588848901530583233,0
588848901527896238,0
588848901527371948,0
588848901526323340,0
588848901526192251,0
588848901525799016,0
588848901525602401,0
588848901524291685,0
588848901523702001,0
588848901523046518,0
588848901520097529,0
588848901519376620,0
588848901519179973,0
588848901518196931,0
588848901517082729,0
588848901513805960,0
588848901010751763,0
588848901009637626,2
588848901006688423,0
588848901003215202,0
588848901001969878,2
588848900991090792,0
588848900984733843,0
588848900984274948,1
588848900982243542,0
588848900977655922,0
588848900971626783,0
588848900971561238,0
588848900971495625,0
588848900971495556,3
588848900970774806,0
588848900967825667,0
588848900966121775,0
588848900473422142,0
588848900472766891,0
588848900470014465,3
588848900469817730,0
588848900460511321,0
588848900459200698,0
588848900458217603,3
588848900453761226,3
588848900452647120,0
588848900449108043,2
588848900443209898,0
588848900439605518,2
588848900438884521,0
588848900438360277,1
588848900433772824,2
588848900433641652,0
588848900431413553,3
588848900428857418,0
588848899935698983,0
588848899935043745,0
588848899933667529,0
588848899929276571,2
588848899928817877,0
588848899928752402,3
588848899925213364,2
588848899917152414,3
588848899914661983,0
588848899912040713,0
588848899908501746,0
588848899904962705,0
588848899901948092,0
588848899901030488,0
588848899899654445,3
588848899899457779,0
588848899896901814,0
588848899895591075,0
588848899892904173,0
588848899399680109,0
588848899398566227,3
588848899397255436,0
588848899396993121,0
588848899393323227,0
588848899391553861,0
588848899389063369,0
588848899384868982,0
588848899382771903,0
588848899372875946,0
588848899367370860,3
588848899366453379,0
588848899363242208,0
588848899360620716,5
588848898855862524,0
588848898854682900,0
588848898853830799,1
588848898852913351,0
588848898851406013,0
588848898847604890,3
588848898845376656,0
588848898843672738,0
588848898839806076,0
588848898838102168,0
588848898836856953,0
588848898834170054,3
588848898834038941,0
588848898832531660,0
588848898831155365,0
588848898830106879,0
588848898827813018,0
588848898827354326,0
588848898825322688,0
588848898823880963,0
588298664658534621,0
588298664656699514,1
588298664654602468,0
588298664651718856,0
588298664650408149,2
588298664650408059,3
588298664650407992,3
588298664648376493,0
588298664121008215,0
588298664120352955,0
588298664114913538,0
588298664114913388,0
588298664112685229,0
588298663586562317,0
588298663583285407,0
588298663581122690,0
588298663580074169,3
588298663579484297,0
588298663576797476,0
588298663574896857,0
588298663573979251,0
588298663037763605,0
588298663037632642,0
588298663037501729,0
588298662508495061,0
588298662505152671,0
588298662502793318,0
588298661973065895,3
588298661971230902,2
588298661963890795,0
588298661962907770,0
588297865803857998,0
588297865802743949,0
588297865800319060,0
588297865266987090,1
588297865266397303,0
588297865265479742,3
588297865264889984,5
588297865261547769,3
588297865256435892,3
588297865252438214,0
588297865252241567,0
588297865252110583,0
588297865251520688,0
588297865249358015,0
588297865248571661,3
588297864731164766,0
588297864730378356,0
588297864727494742,0
588297864726642941,1
588297864724021357,2
588297864723235000,0
588297864721662151,0
588297864719368351,0
588297864719106182,2
588297864718188707,3
588297864717205682,0
588297864717008932,5
588297864714256645,0
588297864713797762,0
588297864712487014,0
588297864710586605,0
588297864708751638,3
588297864190689389,0
588297864190427284,3
588297864186364053,3
588297864184397918,2
588297864184004748,0
588297864180400309,0
588297864178041023,0
588297864177975383,0
588297864174502136,0
588297864172994818,0
588297864171946325,0
588297863653752998,2
588297863652180113,1
588297863646609535,0
588297863645167742,0
588297863642415298,0
588297863641694375,0
588297863641563344,0
588297863640711357,0
588297863640580330,0
588297863119175769,0
588297863116292175,3
588297863115243610,0
588295842859188369,0
588295842858270860,0
588295842857222319,3
588295842323693641,0
588295842322645142,3
588295842322514032,0
588295841786167391,0
588295841784135793,3
588295841783677009,0
588295841782169767,0
588295841781317726,0
588295841251786836,0
588295841247789191,0
588295841246937258,3
588295841246871736,0
588295840713933128,4
588295840711311497,0
588295840707969136,0
588295840706527338,0
588295840706134202,0
588295840706068617,0
588295840176996508,5
588295840176996392,0
588295840176406613,3
588295840176144432,0
588295840175292498,1
588290881640071408,3
588290881639153830,0
588290879491211472,3
588023722319741044,0
588023721781952678,0
588023721248489528,0
588023720710570206,0
588023720710176961,0
588023720707424410,0
588023720175337665,0
588023720175075526,0
588023720174682355,0
588023720174616775,0
588023720173437095,0
588023720173371619,0
588023670782820589,3
588023670779740411,0
588023670777446505,0
588023670246408410,0
588023670244638880,0
588023670244114629,1
588023670242148491,3
588023670241427595,0
588023670240903371,2
588023670240510038,0
588023670240379006,0
588023670240116892,0
588023670239133818,0
588023669708161153,2
588023669705605132,0
588023669703704667,0
588023669172273345,0
588023669170831458,0
588023669168603271,2
588023669168537877,0
588023669167947881,2
588023669167161492,0
588023668638744662,0
588023668638417020,0
588023668637696234,0
588023668637368375,0
588023668634747049,0
588023668629962895,1
588023668098597011,0
588023668094599278,0
588023240744894657,0
588023240744108207,0
588023240743780567,3
588023240742338824,0
588023240206254167,3
588023240205664523,0
588023239670628500,0
588023239132709024,0
588023239131791686,0
588023048016429189,0
588023047483162753,0
588023047481065626,0
588023047472611585,0
588023046945308882,0
588023046944981239,0
588023046942752899,0
588023046940000561,3
588023046938886409,0
588023046935019781,0
588023045871239336,0
588023045870518623,1
588023045865472215,1
588023045865472209,2
588018254825979974,0
588018254304182865,0
588018254302871979,3
588018254302871908,0
588018254302478801,2
588018254298742798,0
588018254296449262,2
588018254295728286,0
588018254291796163,2
588018254290223220,3
588018254288126212,0
588018253766787221,0
588018253763707150,0
588018253757415533,0
588018253756170459,1
588018253228671386,3
588018253227426126,3
588018253224083660,2
588018253218906283,0
588018253215498427,0
588018252689113280,3
588018252686229818,0
588018252685902159,0
588018252685902066,0
588018252684525710,0
588018252682690711,0
588018252682428638,0
588018252677513424,4
588018252142084208,2
588018091086053788,0
588018091084677212,0
588018091083235411,0
588018091080220817,0
588018091079630903,0
588018090551607437,2
588018090549903935,0
588018090548330732,0
588018090547478841,3
588018090545446947,2
588018090545316086,0
588018090544988552,0
588018090011001326,3
588018090010870143,0
588018090008445033,2
588018090006282467,0
588018090005561574,0
588018090005102770,0
588018090003857625,0
588018089474392536,0
588018089472688454,0
588018089469149312,0
588018089468821717,0
588018089468690731,3
588018089468690613,3
588018089468559590,0
588018056736932091,0
588018056734638389,0
588018056718909472,2
588018056204779932,0
588018056204059191,0
588018056202354997,0
588018056202289428,0
588018056201896227,0
588018056201437421,3
588018056199012498,5
588018056198422579,3
588018056183546073,0
588018056182497379,0
588018055668302499,3
588018055658209443,3
588018055657619633,0
588018055656505544,3
588018055655063703,3
588018055654604955,2
588018055648051306,1
588018055128809757,1
588018055128154694,5
588018055127892333,0
588018055125270922,0
588018055124680963,0
588018055123698025,0
588018055120421041,0
588018055117537563,0
588018055115112577,0
588018055114916004,3
588018055111180436,0
588018055110656141,0
588018055108231382,1
588018054578176121,0
588018054576406723,0
588018054575816855,3
588018054575161479,0
588018054573785229,0
588018054572736671,0
588017992841625900,0
588017992841035819,2
588017992835137575,0
588017992834547833,0
588017992832974932,0
588017992313733378,0
588017992312619216,0
588017992311636274,0
588017992309866666,0
588017992304296216,0
588017991775027219,0
588017991773454537,0
588017991773389017,0
588017991772733629,0
588017991770701995,0
588017991767949667,3
588017991762575447,1
588017991240319359,0
588017991235469535,0
588017991235010682,0
588017991228391591,5
588017991223345162,0
588017990705545248,0
588017990702923968,0
588017990701809802,0
588017990700564688,0
588017990697156781,0
588017990694076699,0
588017990690603141,1
588017990690341058,3
588017990163104172,3
588017990158319770,0
588017990156484825,2
588017990155370635,0
588017990155239695,0
588017990154780817,2
588017990154387734,1
588017990150258816,0
588017990149996752,0
588017990149800038,0
588017990149734542,0
588017990147637430,4
588017990147637340,0
588017979986149774,0
588017979980120262,0
588017979979858066,3
588017979978416132,0
588017979976384653,0
588017979975598185,2
588017979975139506,0
588017979968061577,0
588017979966554192,0
588017979958755410,0
588017979951939715,3
588017979948073132,0
588017979453735412,0
588017979452883182,0
588017979452227969,0
588017979449213144,0
588017979449147669,0
588017979437809795,0
588017979437416637,0
588017979421884538,0
588017979420901471,1
588017979420508303,1
588017979415265433,0
588017979411398835,0
588017978917322838,0
588017978915815716,0
588017978915619102,0
588017978913325353,0
588017978913194237,1
588017978909851767,0
588017978909524138,0
588017978907885780,0
588017978904412446,0
588017978902839498,3
588017978898710664,0
588017978897334434,0
588017978892288116,0
588017978891632731,0
588017978889470083,2
588017978882261113,0
588017978881736790,0
588017978878001264,0
588017978377764910,3
588017978376585521,1
588017978376519846,2
588017978373243019,0
588017978372653315,0
588017978369441952,2
588017978367803528,2
588017978367672545,0
588017978366820510,0
588017978366689582,0
588017978366492961,1
588017978364919844,0
588017978362167428,5
588017978361315460,0
588017978359087210,2
588017978357317648,2
588017978354761918,0
588017978349584489,1
588017978349453401,0
588017978346111157,0
588017978345783454,3
588017978344013963,0
588017978341261389,0
588017978339623124,0
588017978336477385,2
588017978335821974,0
588017978334970187,0
588017977842925975,0
588017977839452298,0
588017977839255823,3
588017977836110071,2
588017977834406046,0
588017977833160857,0
588017977832439858,0
588017977831915656,3
588017977830473935,0
588017977830211677,4
588017977830015140,0
588017977829753126,0
588017977828638836,0
588017977827262622,0
588017977824182499,3
588017977824182418,0
588017977819136090,0
588017977817628761,1
588017977815793799,0
588017977812713529,3
588017977811664978,0
588017977811533922,0
588017977811206207,0
588017977810419803,0
588017977809699013,3
588017977808978056,0
588017977799868648,1
588017977291243580,0
588017977288425621,4
588017977284690034,0
588017977284296838,0
588017977283379363,0
588017977281544328,3
588017949895950440,2
588017949893984393,0
588017949890314313,0
588017949887365219,0
588017949886120065,0
588017949365567533,0
588017949365043414,5
588017949361701009,0
588017949356851291,0
588017949351805074,0
588017949350035590,3
588017949349707974,2
588017949348331676,0
588017949348135090,0
588017949090250857,1
588017948828762337,3
588017948826599539,0
588017948825157802,3
588017948821291188,3
588017948816834690,3
588017948816441482,0
588017948812378194,0
588017948809429104,0
588017948293398594,0
588017948291367001,0
588017948288614590,0
588017948286648489,0
588017948286320781,0
588017948286058677,0
588017948285206686,1
588017948278325420,3
588017948273082522,0
588017948272689305,0
588017947755151463,0
588017947754299444,1
588017947752923323,3
588017947736866935,0
588017947735425207,0
588017947216117890,0
588017947215069321,0
588017947210219610,3
588017947209039919,0
588017947203731598,0
588017730302247012,0
588017730299297976,0
588017730299297932,0
588017730298708065,0
588017730298183852,0
588017729765113998,0
588017729762361350,0
588017729761640472,2
588017729232371862,0
588017729229422720,0
588017729228374215,3
588017728694714481,0
588017728691437614,1
588017728690520157,0
588017728688947336,0
588017728155418764,0
588017728154632289,0
588017728154108041,0
588017728152338555,0
588017726554701893,0
588017726553849933,3
588017726549983399,3
588017726548672636,0
588017726547099930,0
588017726546772124,1
588017726544019519,0
588017726022025431,3
588017726021304471,2
588017726017241212,0
588017726007410856,0
588017726006952069,0
588017726005182651,0
588017725479125099,0
588017725478928631,0
588017725475127453,3
588017725473882124,0
588017725470736606,0
588017725470605417,0
588017725470408940,3
588017724947955898,3
588017724943368395,2
588017724942450722,0
588017724942188726,0
588017724940091561,0
588017724934193318,3
588017724933341402,0
588017724411412654,0
588017724411085036,0
588017724408266924,0
588017724403548364,0
588017724401123610,0
588017724397453423,0
588017724396863623,0
588017724395290761,0
588017724395159728,0
588017723872837834,0
588017723870085332,0
588017723869888627,0
588017723869626501,0
588017723865759860,0
588017723864645848,0
588017723863466166,0
588017723858157775,2
588017722255802461,0
588017722255081499,0
588017722252787850,3
588017722251083878,0
588017721721552973,0
588017721721028720,1
588017721720111277,3
588017721719652541,0
588017721715589230,0
588017721712377968,0
588017721181012061,0
588017721180815458,0
588017721179963537,0
588017721179177085,0
588017721178456189,0
588017721178325141,0
588017721177866379,2
588017721175834784,0
588017721174655123,0
588017721174261977,0
588017720649777300,0
588017720644796533,0
588017720642306205,0
588017720639553609,0
588017720639488070,0
588017720639422619,0
588017720110219269,0
588017720108318809,0
588017720105762940,0
588017720103338126,0
588017720102355028,0
588017719576952877,0
588017719574921373,0
588017719573413957,0
588017719568040011,3
588017713662263443,0
588017713660821625,0
588017713656496286,0
588017713124475055,0
588017713121001614,0
588017712587079827,3
588017712585441450,0
588017712585310345,0
588017712584785941,3
588017712050667563,0
588017712049488008,3
588017712048898206,5
588017712045949021,0
588017711515172977,1
588017711509143677,0
588017710978498787,0
588017705091137705,2
588017705088319588,5
588017705088254183,0
588017705087664216,3
588017705085567151,0
588017705084977175,0
588017705082224730,3
588017705080979573,0
588017704564818117,0
588017704563245460,0
588017704558985509,3
588017704553676934,2
588017704552890579,0
588017704549155150,4
588017704548630573,0
588017704547909652,0
588017704543191195,0
588017704541552866,1
588017704540635255,0
588017704538800244,0
588017704538341464,0
588017704534802506,2
588017704532508760,0
588017704530477181,0
588017704529494151,3
588017704032338305,3
588017704030109771,0
588017704029323423,0
588017704027095402,1
588017704022966536,3
588017704019034206,0
588017704017526920,1
588017704017068165,2
588017704015823037,0
588017704015626401,0
588017704015233299,3
588017704013856921,0
588017704013791340,2
588017704010449078,5
588017704004026441,0
588017704003829898,3
588017704001863769,0
588017704001142981,2
